label,complexity,holdout_r2,eq,arm,seed,n_params,cv_r2_mean,cv_r2_sd,max_cov,stable,error
Mid-complexity candidate,24,0.6056,((Tv_C + ((((4.2946577 - uzonal) - (SR*HODsin * 0.017328158)) / exp(hwet)) + -24.07842)) * exp((sqrt(SR*Ts) - AUC_dry) * 0.004744538)) + 0.8820041,PHL,53,7,0.5979962074335984,0.3387547840680825,0.949005284929853,False,
Best accuracy (most complex),40,0.5998,(Tv_C / ((((34.20692 + (0.17284971 * (((uzonal + hwet) * (33.399704 - Tv_C)) - h*sinTOD))) - Tv_C) + ((AUC_dry + (((h*sinTOD + uzonal) * 3.7580283) * h*sinTOD)) * 0.016929613)) * 0.59428567)) + (0.20354494 * (uzonal + exp(0.3451014 * hwet))),PHL,47,9,0.6075663220546745,0.3112205659203271,0.35000059522636834,True,
Best accuracy (most complex),39,0.5975,(0.4573895 - (uzonal * -0.29889837)) + ((SR*HODsin + ((-338.54926 - (((h*sinTOD + 3.8469412) * (h*VPD - h*sinTOD)) * hwet)) * (Tv_C - 22.010452))) / ((-1038.6163 - AUC_dry) - (((((uzonal + hwet) - Tv_C) * 27.076096) - h*sinTOD) - h*sinTOD))),PHL,46,9,0.6128466615588045,0.30848257633403586,0.21978532192105713,True,
Best accuracy (most complex),39,0.5888,(((uzonal + sqrt(Tv_C - (SR*HODsin / (Tv_C / 2.0999038)))) * exp((uzonal + sqrt(AUC_dry)) * -0.022155438)) + ((((Tv_C + uzonal) * 2.0999038) - (hwet + 52.50829)) * exp((AUC_dry / -207.76108) - (uzonal / 1.8175421)))) / 1.3074409,PHL,50,8,0.610568325185641,0.28857492139821656,0.136419302737298,True,
Mid-complexity candidate,23,0.5835,34.133377 / (((((33.886723 - Tv_C) * (uzonal + hwet)) - h*sinTOD) * 0.11100233) + ((((AUC_dry * 0.016508713) + 34.133377) - Tv_C) * 0.711982)),PHL,47,7,0.5925103547477397,0.32731239485301333,1.853307802503701,False,
Mid-complexity candidate,23,0.5781,88.92838 / (((sqrt(exp(h_ASINH_cm) - (-0.78801185 / (exp(h*sinTOD) + 0.009448011))) + ((AUC_dry + 1687.0571) / Tv_C)) - 51.453197) + exp(uzonal)),PHL,48,6,0.5903998799500816,0.3243259433838642,0.4101622068280608,True,
Knee of Pareto front,11,0.5694,-50.769726 / ((-4.3924127 - (AUC_dry * 0.018574951)) - (hwet + uzonal)),PHL,49,3,0.47898211606437996,0.2920419260564945,0.08844308344048134,True,
Mid-complexity candidate,22,0.5629,((Tv_C * 10.026427) / (((exp(h_ASINH_cm) - ((AUC_dry / -7.752067) - (Tv_C * -6.2951446))) + (uzonal + 212.76797)) - h*sinTOD)) + 0.19772872,PHL,52,5,0.5806736274337928,0.3238494062567269,0.23682440803391527,True,
Best accuracy (most complex),39,0.5623,(log(1.3936013 + (uzonal * 0.19886805)) + (exp(((AUC_dry * -0.035921473) - hwet) / sqrt(Tv_C)) * ((exp(((Tv_C * 2.4373744) - uzonal) / 7.13668) * 0.0004093131) - exp(0.006402369 * SR*HODsin)))) + exp(1.074897 - (AUC_dry * 0.0004093131)),PHL,43,10,0.5853033623141937,0.29263771765904545,0.6859562981042898,False,
Knee of Pareto front,10,0.5538,1219.1498 / ((0.33055156 * AUC_dry) + (196.76733 - sqrt(SR*Ts))),PHL,50,4,0.45879934601408534,0.2775720636251438,1.0057249663949706,False,
