label,complexity,holdout_r2,eq,arm,seed,n_params,cv_r2_mean,cv_r2_sd,max_cov,stable,error
Best accuracy (most complex),40,0.6386,(hbar_wet - 0.40055007) * ((((h_inv * 0.00034019744) - (Tv_C * (Tv_C * ((((SR*HODsin + (SR*v / 1.6380328)) + (((h*v - h*sinTOD) - (hbar_wet * Tv_C)) * Tv_C)) * -1.7110912e-7) * (hbar_wet + -5.6869154))))) * hbar_wet) + exp(VPD*WS * -39.338554)),POOLED,45,7,0.5959991279117876,0.02824789167333276,0.48819917324674883,True,
Best accuracy (most complex),40,0.6226,(((((exp(0.087551735 / (VPD*WS + 0.023249526)) - (dayhr + (((h_inv * hbar_wet) - (SR*v + ((SR*u * -0.4392101) + SR*HODsin))) * -0.015417809))) - (Tv_C * (Tv_C * -0.1079979))) * ((hbar_wet * Tv_C) * 4.0071925e-5)) - 0.14760266) * Tv_C) - -3.1261437,POOLED,42,10,0.5751251077554761,0.03270199928524416,0.3511396775859755,True,
Best accuracy (most complex),40,0.6122,(exp(VPD*WS / -0.015964199) + ((((h_inv * 0.00030100625) + 0.1742667) + ((hbar_wet * (Tv_C * 3.157202e-7)) * (((Tv_C - h*v) * Tv_C) * (Tv_C - (hbar_wet * hbar_wet))))) * hbar_wet)) * ((Tv_C * (hbar_wet * 0.043043915)) - (SR*v * 0.00045436274)),POOLED,43,7,0.5930771991388946,0.0219065424057966,0.1975665624554061,True,
Best accuracy (most complex),40,0.6063,((Tv_C * ((((exp(sqrt((h*v * -0.26210016) + Tv_C)) * Tv_C) + (((h_inv - SR*HODsin) + (((h*sinTOD + Tv_C) / (VPD*WS + 0.023235692)) - exp(hbar_wet * 1.2853258))) * hbar_wet)) - SR*v) * 1.2923663e-5)) + 0.61311793) * (hbar_wet - 0.49169064),POOLED,46,8,0.5844645975682721,0.028362849136227195,0.1198652343911443,True,
Best accuracy (most complex),40,0.5986,(hbar_wet - 0.41998205) * (((((h_inv - ((depth + (SR*v * 0.004850995)) * exp(Tv_C * 0.14940248))) * 0.0012107894) + -0.11850356) * sqrt(1.2445537 - exp(VPD*WS * -29.737143))) - ((exp(Tv_C * 0.14525098) * -0.046836) - exp(VPD*WS * -29.737143))),POOLED,52,11,0.5713644259348366,0.025218467464272996,1.2241682420048277,False,
Mid-complexity candidate,22,0.5967,hbar_wet * ((((exp(sqrt(Tv_C)) * (Tv_C - h*v)) + ((hbar_wet + -1.2330998) * h_inv)) * 0.00042152387) + exp(VPD*WS / -0.002939702)),POOLED,46,4,0.5580957064802816,0.02519649285532208,0.45661989067030684,True,
Best accuracy (most complex),39,0.5955,((hbar_wet * ((((sqrt(sqrt(sqrt(exp(Tv_C + 35.827667)))) / exp(h*v / 38.99142)) - (SR*HODsin - h_inv)) * hbar_wet) - SR*v)) / (((exp((hbar_wet - 3.454019) * 4.026551) + 36.521152) * (depth + dayhr)) + 3207.9573)) + 0.084254965,POOLED,47,8,0.575523052967123,0.008853641323703174,1.0892790607090228,False,
Best accuracy (most complex),39,0.5942,(exp((Tv_C - (h*v * 0.16512966)) * 0.14103279) + ((h*cosTOD + (h*sinTOD / 0.56771344)) + ((h_inv - ((SR*HODsin + ((Tv_C / (VPD*WS + 0.014354678)) / -2.1076014)) + exp(hbar_wet * 1.1293043))) * 0.0269606))) * ((hbar_wet * 0.04940764) + -0.026885394),POOLED,50,10,0.5729881552120915,0.025319827580155455,0.22007894086588525,True,
Mid-complexity candidate,19,0.5926,(hbar_wet - 0.42105976) * ((h_inv + sqrt(sqrt(sqrt(exp(Tv_C + 33.039303))))) / ((SR*v * 0.13346496) + 787.6308)),POOLED,47,5,0.5437636449530912,0.03176840216576389,0.11783752903021383,True,
Best accuracy (most complex),40,0.5916,(hbar_wet * (sqrt(hbar_wet) + ((((hbar_wet * (h_inv - (SR*HODsin + exp(hbar_wet * 1.3364367)))) - SR*v) + ((22.322659 - Tv_C) * (((Tv_C / 0.9059802) - depth) * (h*v - Tv_C)))) * 0.00028286013))) - sqrt((hbar_wet * 0.09457585) * dayhr),POOLED,51,7,0.566465213313369,0.020321535914943952,0.07643427870932261,True,
Best accuracy (most complex),40,0.5911,((((SR*v + (SR*HODsin * log(Tv_C))) - (h_inv * hbar_wet)) * 0.010861392) - ((exp((VPD*WS / -0.015809601) + 3.4772944) + (h*cosTOD + h*sinTOD)) + exp((Tv_C + (h*v * -0.112496756)) * 0.15087216))) * ((hbar_wet - (dayhr / Tv_C)) * -0.03365706),POOLED,48,8,0.5763161552382421,0.02624505313741098,0.1465599181133444,True,
Mid-complexity candidate,21,0.5846,(hbar_wet - (SR*v * 0.0003887753)) * ((exp(VPD*WS / -0.039896015) - (h_inv * -0.0012095191)) + exp(-3.8196046 - (Tv_C * -0.1589963))),POOLED,45,5,0.5515388858991919,0.03873931049400853,0.10315338476637005,True,
Mid-complexity candidate,21,0.5838,((0.0091648055 / ((VPD*WS * depth) + 0.007297127)) - (((h*v - Tv_C) * Tv_C) * ((Tv_C * Tv_C) * 3.6277347e-6))) * hbar_wet,POOLED,42,4,0.548466891657761,0.01688729337726828,0.46681907242452125,True,
Mid-complexity candidate,23,0.5835,(((h_inv - (SR*v * 0.29583806)) * 0.001309817) - ((exp(Tv_C * 0.15034318) * -0.032458022) - exp(VPD*WS * -42.441765))) * (hbar_wet - 0.29583806),POOLED,52,6,0.5530251789001343,0.032764105886572206,0.13797144372156686,True,
Best accuracy (most complex),39,0.5813,((((((VPD*WS - (0.60585546 / ((-0.42019412 / (Tv_C + h*sinTOD)) - VPD*WS))) + ((hbar_wet + VPD*WS) * (h_inv * 0.007524529))) + sqrt(exp(Tv_C / 3.3401058))) * hbar_wet) * 0.16285485) - sqrt(dayhr)) / (exp(h*v * 0.104670376) - -3.9943438),POOLED,53,8,0.5685045300926064,0.022932661209731052,0.20828169861015403,True,
Mid-complexity candidate,22,0.5794,hbar_wet * (((((((18.50929 - Tv_C) * (h*v - Tv_C)) - exp(hbar_wet)) * Tv_C) + (hbar_wet * h_inv)) * 0.0002431421) - -0.93212116),POOLED,51,3,0.5387078153400011,0.026699045207916546,0.025096216752360512,True,
Mid-complexity candidate,21,0.5768,(hbar_wet * (sqrt(h_inv + exp(Tv_C / 3.7573307)) - (-0.04512124 / (VPD*WS - -0.0032782948)))) * (2.4109364 / (h*v - -45.151352)),POOLED,53,6,0.5490743303764013,0.029136631607769338,0.4843458903438709,True,
Mid-complexity candidate,20,0.5751,((h*sinTOD + exp((Tv_C * 0.13725422) - (h*v * 0.02436486))) + (h_inv * 0.026091438)) * ((hbar_wet * 0.055241026) + -0.023161953),POOLED,50,5,0.5412624459325018,0.024735466575566342,0.14873097263088902,True,
Mid-complexity candidate,23,0.5751,hbar_wet * ((exp(VPD*WS / -0.019251036) + ((h_inv * hbar_wet) * 0.00032914753)) - (exp((Tv_C + (h*v * -0.17423946)) * 0.1482118) * -0.0321408)),POOLED,48,5,0.5591716560564063,0.027756544944638584,0.11330129030461379,True,
Best accuracy (most complex),38,0.5734,((hbar_wet / exp(Tv_C * -0.15561722)) / (41.627895 + h*v)) + (((hbar_wet + -1.7152845) * (h_inv * 0.003098907)) + ((0.1584269 * u*VPD) + (-0.3135097 * (Tv_C / (((h*sinTOD - 0.7042086) * h_inv) - ((VPD*WS * 144.38968) - -1.8907897)))))),POOLED,49,9,0.5708147097650272,0.02723381604826596,0.3490759859968207,True,
Mid-complexity candidate,21,0.5699,((exp(((h*v * -0.18253115) + Tv_C) * 0.14366996) * 0.03759507) + exp(((VPD*WS * depth) * h_inv) / -0.016362192)) * hbar_wet,POOLED,44,4,0.555244294436506,0.024184710458415862,0.13082546301159703,True,
Mid-complexity candidate,21,0.568,((((Tv_C * (Tv_C - h*v)) * ((Tv_C * Tv_C) * 1.0364816e-7)) * Tv_C) - ((h_inv * -0.0012086597) + -0.4460127)) * hbar_wet,POOLED,43,4,0.5332411215937829,0.02289372718962817,0.6581133396849306,False,
Best accuracy (most complex),39,0.5507,(((exp((Tv_C + (h*v * -0.14173289)) * 0.18787628) - ((Tv_C + (VPD*WS + ((dayhr * -0.40735856) - hbar_wet))) / (((depth * (depth * -15.005067)) * (exp(u*VPD) * VPD*WS)) + -0.14173289))) / Tv_C) * (hbar_wet - 0.31108516)) * 0.30775663,POOLED,44,8,0.5666210324966237,0.02378995314177336,1.5235559019842823e-16,True,
Knee of Pareto front,8,0.5262,hbar_wet * exp((Tv_C * 0.119785115) + -2.4654007),POOLED,47,2,0.4645585839727736,0.046742456945370485,0.09475311571449328,True,
Knee of Pareto front,8,0.5253,(hbar_wet * exp(Tv_C * 0.1507501)) / Tv_C,POOLED,46,1,0.46717707472577175,0.04397068927025625,0.003124815657486347,True,
Knee of Pareto front,8,0.5253,hbar_wet * (exp(Tv_C * 0.15075056) / Tv_C),POOLED,45,1,0.4671770746964432,0.04397068926979436,0.003124815698649916,True,
Knee of Pareto front,8,0.5251,hbar_wet * (exp(Tv_C / 6.6319146) / Tv_C),POOLED,53,1,0.46717707687670396,0.043970681715203346,0.0031248122534341624,True,
Mid-complexity candidate,18,0.5201,((hbar_wet / exp(Tv_C * -0.15584677)) / 41.664223) - (hbar_wet / (-0.7372261 - ((depth * VPD*WS) * 59.562702))),POOLED,49,4,0.5273369515921977,0.03116088546606419,0.13165854281220873,True,
Auto-best (highest score),7,0.5053,hbar_wet * (exp(sqrt(Tv_C)) * 0.013208267),POOLED,46,2,0.459283999757662,0.04843752984007736,0.1291609062369228,True,
Auto-best (highest score),7,0.5052,(hbar_wet * 0.013209045) * exp(sqrt(Tv_C)),POOLED,53,2,0.459283999745257,0.04843753002419852,0.12916090519374634,True,
Auto-best (highest score),7,0.5052,exp(sqrt(Tv_C)) * (hbar_wet * 0.013211074),POOLED,45,2,0.4592839998012329,0.048437530088051656,0.1291609001510366,True,
Near-knee candidate,7,0.4598,hbar_wet / ((34.291985 / Tv_C) + -0.8011351),POOLED,42,2,0.45672485286949105,0.029334750192072965,0.04379971280492795,True,
Auto-best (highest score),7,0.4538,hbar_wet / ((34.694744 / Tv_C) + -0.81229234),POOLED,50,2,0.45672389693222726,0.02933375342653598,0.04379945177296029,True,
Near-knee candidate,7,0.4537,hbar_wet / (-0.8087981 - (-34.556118 / Tv_C)),POOLED,48,2,0.4567244463664851,0.029333174288213176,0.04380648058317576,True,
Near-knee candidate,7,0.4528,hbar_wet / ((34.605152 / Tv_C) + -0.8101796),POOLED,49,2,0.4567236891933263,0.02933332280408344,0.043808401661738106,True,
