,complexity,loss,equation,score,sympy_format,lambda_format,equation_named
0,1,29.915613,3.6206717,0.0,3.62067170000000,PySRFunction(X=>3.62067170000000),3.6206717
1,2,29.336521,sqrt(x2),0.019547327663891393,sqrt(x2),PySRFunction(X=>sqrt(x2)),sqrt(VPD)
2,3,21.599897,x0 * 0.0007414266,0.3061446442002049,x0*0.0007414266,PySRFunction(X=>x0*0.0007414266),AUC_wet * 0.0007414266
3,5,19.545393,x2 * (x0 * 8.1896476e-5),0.04997446983655296,x2*x0*8.1896476e-5,PySRFunction(X=>x2*x0*8.1896476e-5),VPD * (AUC_wet * 8.1896476e-5)
4,6,18.088491,(x0 * sqrt(x2)) * 0.0002981928,0.07746372681132363,0.0002981928*x0*sqrt(x2),PySRFunction(X=>0.0002981928*x0*sqrt(x2)),(AUC_wet * sqrt(VPD)) * 0.0002981928
5,7,17.40923,(x0 * 5.275596e-5) * (x2 + 6.8653603),0.038275354329252206,x0*5.275596e-5*(x2 + 6.8653603),PySRFunction(X=>x0*5.275596e-5*(x2 + 6.8653603)),(AUC_wet * 5.275596e-5) * (VPD + 6.8653603)
6,8,16.583956,x0 * (exp(x2 * 0.06887463) * 0.00040281835),0.04856480337626277,x0*exp(x2*0.06887463)*0.00040281835,PySRFunction(X=>x0*exp(x2*0.06887463)*0.00040281835),AUC_wet * (exp(VPD * 0.06887463) * 0.00040281835)
7,9,15.991867,exp(exp(x2 * 0.041354977)) * (x0 * 0.0001639225),0.03635544146510076,exp(exp(x2*0.041354977))*x0*0.0001639225,PySRFunction(X=>exp(exp(x2*0.041354977))*x0*0.0001639225),exp(exp(VPD * 0.041354977)) * (AUC_wet * 0.0001639225)
8,10,15.74852,(x0 * (exp(x2 * 0.19496685) + 27.084179)) * 1.9688223e-5,0.015333887902805392,x0*(exp(x2*0.19496685) + 27.084179)*1.9688223e-5,PySRFunction(X=>x0*(exp(x2*0.19496685) + 27.084179)*1.9688223e-5),(AUC_wet * (exp(VPD * 0.19496685) + 27.084179)) * 1.9688223e-5
9,11,15.521868,0.00015909987 * (exp(exp((x2 - x4) * 0.041191053)) * x0),0.014496524265348799,0.00015909987*x0*exp(exp((x2 - x4)*0.041191053)),PySRFunction(X=>0.00015909987*x0*exp(exp((x2 - x4)*0.041191053))),0.00015909987 * (exp(exp((VPD - uzonal) * 0.041191053)) * AUC_wet)
10,12,15.003812,((exp((x2 - x4) * 0.19496685) + 26.343214) * x0) * 1.9688223e-5,0.033945566187894245,(exp((x2 - x4)*0.19496685) + 26.343214)*x0*1.9688223e-5,PySRFunction(X=>(exp((x2 - x4)*0.19496685) + 26.343214)*x0*1.9688223e-5),((exp((VPD - uzonal) * 0.19496685) + 26.343214) * AUC_wet) * 1.9688223e-5
11,13,14.25321,(exp(exp((x2 - x4) * 0.06086763)) + 18.932392) * (x0 * 2.6696776e-5),0.051322157644519174,(exp(exp((x2 - x4)*0.06086763)) + 18.932392)*x0*2.6696776e-5,PySRFunction(X=>(exp(exp((x2 - x4)*0.06086763)) + 18.932392)*x0*2.6696776e-5),(exp(exp((VPD - uzonal) * 0.06086763)) + 18.932392) * (AUC_wet * 2.6696776e-5)
12,14,14.160022,(exp(exp((x2 - tanh(x8)) * 0.06086763)) + 18.932392) * (x0 * 2.6856264e-5),0.006559502567935501,(exp(exp((x2 - tanh(x8))*0.06086763)) + 18.932392)*x0*2.6856264e-5,PySRFunction(X=>(exp(exp((x2 - tanh(x8))*0.06086763)) + 18.932392)*x0*2.6856264e-5),(exp(exp((VPD - tanh(u*VPD)) * 0.06086763)) + 18.932392) * (AUC_wet * 2.6856264e-5)
13,15,13.748467,(x0 * 1.817752e-5) * (exp(exp(((x2 - x5) - x4) * 0.06496923)) + 31.158094),0.029495314948767122,x0*1.817752e-5*(exp(exp((x2 - x4 - x5)*0.06496923)) + 31.158094),PySRFunction(X=>x0*1.817752e-5*(exp(exp((x2 - x4 - x5)*0.06496923)) + 31.158094)),(AUC_wet * 1.817752e-5) * (exp(exp(((VPD - vmerid) - uzonal) * 0.06496923)) + 31.158094)
14,17,13.389587,(x0 * ((x2 + exp(exp(((x2 - x5) - x4) * 0.064969204))) + 25.35817)) * 1.6663014e-5,0.013225005836943124,x0*(x2 + exp(exp((x2 - x4 - x5)*0.064969204)) + 25.35817)*1.6663014e-5,PySRFunction(X=>x0*(x2 + exp(exp((x2 - x4 - x5)*0.064969204)) + 25.35817)*1.6663014e-5),(AUC_wet * ((VPD + exp(exp(((VPD - vmerid) - uzonal) * 0.064969204))) + 25.35817)) * 1.6663014e-5
