,complexity,loss,equation,score,sympy_format,lambda_format,equation_named
0,1,48.29713,5.273441,0.0,5.27344100000000,PySRFunction(X=>5.27344100000000),5.273441
1,3,37.953724,sqrt(exp(x3)),0.12050225522933249,sqrt(exp(x3)),PySRFunction(X=>sqrt(exp(x3))),sqrt(exp(es))
2,4,35.595966,exp(x3 * 0.5704617),0.06413531131389356,exp(x3*0.5704617),PySRFunction(X=>exp(x3*0.5704617)),exp(es * 0.5704617)
3,5,31.833117,x3 + (x1 * 0.0006622153),0.11172515384669306,x1*0.0006622153 + x3,PySRFunction(X=>x1*0.0006622153 + x3),es + (AUC * 0.0006622153)
4,6,26.755352,exp((x3 * 7.165276e-5) * x1),0.17377263488788117,exp(x3*7.165276e-5*x1),PySRFunction(X=>exp(x3*7.165276e-5*x1)),exp((es * 7.165276e-5) * AUC)
5,7,26.211973,exp(exp(x1 * (x3 * 2.5571762e-5))),0.020518236981930706,exp(exp(x1*x3*2.5571762e-5)),PySRFunction(X=>exp(exp(x1*x3*2.5571762e-5))),exp(exp(AUC * (es * 2.5571762e-5)))
6,8,24.557268,x3 * exp(x1 * (x3 * 3.521846e-5)),0.06520843180760903,x3*exp(x1*x3*3.521846e-5),PySRFunction(X=>x3*exp(x1*x3*3.521846e-5)),es * exp(AUC * (es * 3.521846e-5))
7,9,24.517239,x3 * exp(x3 * tanh(x1 * 3.655636e-5)),0.0016313565361955253,x3*exp(x3*tanh(x1*3.655636e-5)),PySRFunction(X=>x3*exp(x3*tanh(x1*3.655636e-5))),es * exp(es * tanh(AUC * 3.655636e-5))
8,10,23.350752,x3 * exp((x1 - x11) * (3.52876e-5 * x3)),0.048747313606578635,x3*exp((x1 - x11)*3.52876e-5*x3),PySRFunction(X=>x3*exp((x1 - x11)*3.52876e-5*x3)),es * exp((AUC - SR*v) * (3.52876e-5 * es))
9,11,23.291363,exp(x3 * tanh((x1 - x11) * 3.6799338e-5)) * x3,0.0025465840086903026,x3*exp(x3*tanh((x1 - x11)*3.6799338e-5)),PySRFunction(X=>x3*exp(x3*tanh((x1 - x11)*3.6799338e-5))),exp(es * tanh((AUC - SR*v) * 3.6799338e-5)) * es
10,13,22.898218,exp((x3 * 4.0919836e-5) * (x1 - x11)) * (x3 - tanh(x4)),0.008511757108320205,(x3 - tanh(x4))*exp(x3*4.0919836e-5*(x1 - x11)),PySRFunction(X=>(x3 - tanh(x4))*exp(x3*4.0919836e-5*(x1 - x11))),exp((es * 4.0919836e-5) * (AUC - SR*v)) * (es - tanh(VPD))
11,14,22.311836,(exp(((x1 - x11) * 3.477323e-5) * x3) * x3) / tanh(exp(x4)),0.025941790945033873,x3*exp((x1 - x11)*3.477323e-5*x3)/tanh(exp(x4)),PySRFunction(X=>x3*exp((x1 - x11)*3.477323e-5*x3)/tanh(exp(x4))),(exp(((AUC - SR*v) * 3.477323e-5) * es) * es) / tanh(exp(VPD))
12,15,22.205154,(exp(x3 * ((x1 - x11) * 3.446869e-5)) * x3) / tanh(x4 + 0.83196914),0.004792875898473888,x3*exp(x3*(x1 - x11)*3.446869e-5)/tanh(x4 + 0.83196914),PySRFunction(X=>x3*exp(x3*(x1 - x11)*3.446869e-5)/tanh(x4 + 0.83196914)),(exp(es * ((AUC - SR*v) * 3.446869e-5)) * es) / tanh(VPD + 0.83196914)
13,16,21.762848,exp(x3 * ((x1 - x11) * 3.4509983e-5)) * ((x3 + tanh(x1)) - tanh(x4)),0.020120128318596286,(x3 + tanh(x1) - tanh(x4))*exp(x3*(x1 - x11)*3.4509983e-5),PySRFunction(X=>(x3 + tanh(x1) - tanh(x4))*exp(x3*(x1 - x11)*3.4509983e-5)),exp(es * ((AUC - SR*v) * 3.4509983e-5)) * ((es + tanh(AUC)) - tanh(VPD))
